Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Jonathan Gannon,ARI,17,4,13,0,28,10,18,0,28,10,18,0,,,,,,,,,,
Arthur Smith,ATL,17,7,10,0,51,21,30,0,51,21,30,0,,,,,,,,,,
John Harbaugh,BAL,17,13,4,0,271,168,103,0,271,168,103,0,2,1,1,22,12,10,22,12,10,
Sean McDermott,BUF,17,11,6,0,125,82,43,0,125,82,43,0,2,1,1,11,5,6,11,5,6,
Frank Reich,CAR,11,1,10,0,11,1,10,0,85,41,43,1,,,,,,,3,1,2,fired after week 12
Chris Tabor,CAR,6,1,5,0,6,1,5,0,6,1,5,0,,,,,,,,,,Interim coach after week 12
Matt Eberflus,CHI,17,7,10,0,45,14,31,0,45,14,31,0,,,,,,,,,,
Zac Taylor,CIN,17,9,8,0,93,41,51,1,93,41,51,1,,,,7,5,2,7,5,2,
Kevin Stefanski,CLE,17,11,6,0,78,40,38,0,78,40,38,0,1,0,1,3,1,2,3,1,2,
Mike McCarthy,DAL,17,12,5,0,78,46,32,0,282,171,109,2,1,0,1,4,1,3,22,11,11,
Sean Payton,DEN,17,8,9,0,29,15,14,0,270,167,103,0,,,,,,,17,9,8,
Dan Campbell,DET,17,12,5,0,62,34,27,1,74,39,34,1,3,2,1,3,2,1,3,2,1,
Matt LaFleur,GNB,17,9,8,0,94,64,30,0,94,64,30,0,2,1,1,7,3,4,7,3,4,
DeMeco Ryans,HOU,17,10,7,0,29,17,12,0,29,17,12,0,2,1,1,2,1,1,2,1,1,
Shane Steichen,IND,17,9,8,0,29,14,15,0,29,14,15,0,,,,,,,,,,
Doug Pederson,JAX,17,9,8,0,45,20,25,0,125,62,62,1,,,,2,1,1,8,5,3,
Andy Reid,KAN,17,11,6,0,190,138,52,0,414,268,145,1,4,4,0,23,16,7,42,26,16,Super Bowl Champions
Brandon Staley,LAC,14,5,9,0,48,24,24,0,48,24,24,0,,,,1,0,1,1,0,1,fired after week 15
Giff Smith,LAC,3,0,3,0,3,0,3,0,3,0,3,0,,,,,,,,,,Interim coach after week 15
Sean McVay,LAR,17,10,7,0,126,75,51,0,126,75,51,0,1,0,1,11,7,4,11,7,4,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Antonio Pierce,LVR,9,5,4,0,20,7,13,0,20,7,13,0,,,,,,,,,,Interim coach after week 8
Josh McDaniels,LVR,8,3,5,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,Fired after week 8
Mike McDaniel,MIA,17,11,6,0,45,25,20,0,45,25,20,0,1,0,1,2,0,2,2,0,2,
Kevin O'Connell,MIN,17,7,10,0,45,29,16,0,45,29,16,0,,,,1,0,1,1,0,1,
Dennis Allen,NOR,17,9,8,0,43,18,25,0,79,26,53,0,,,,,,,0,0,0,
Bill Belichick,NWE,17,4,13,0,387,266,121,0,467,302,165,0,,,,42,30,12,44,31,13,
Brian Daboll,NYG,17,6,11,0,45,17,27,1,45,17,27,1,,,,2,1,1,2,1,1,
Robert Saleh,NYJ,17,7,10,0,56,20,36,0,56,20,36,0,,,,,,,,,,
Nick Sirianni,PHI,17,11,6,0,62,43,19,0,62,43,19,0,1,0,1,5,2,3,5,2,3,
Mike Tomlin,PIT,17,10,7,0,286,181,103,2,286,181,103,2,1,0,1,18,8,10,18,8,10,
Pete Carroll,SEA,17,9,8,0,227,137,89,1,291,170,120,1,,,,19,10,9,22,11,11,
Kyle Shanahan,SFO,17,12,5,0,126,69,57,0,126,69,57,0,3,2,1,12,8,4,12,8,4,NFC Champions
Todd Bowles,TAM,17,9,8,0,45,22,23,0,112,48,64,0,2,1,1,3,1,2,3,1,2,
Mike Vrabel,TEN,17,6,11,0,99,54,45,0,99,54,45,0,,,,5,2,3,5,2,3,
Ron Rivera,WAS,17,4,13,0,67,26,40,1,207,102,103,2,,,,1,0,1,8,3,5,
